"COD_MUNICIPIO","COD_UF","NOME_UF","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","Ano","INDICADOR_201"
250430,25,"Paraíba",2501,"Sertão Paraibano",250101,"Catolé do Rocha","Catolé do Rocha",2010,72.23
250430,25,"Paraíba",2501,"Sertão Paraibano",250101,"Catolé do Rocha","Catolé do Rocha",2000,66.93
250430,25,"Paraíba",2501,"Sertão Paraibano",250101,"Catolé do Rocha","Catolé do Rocha",1991,61.94
250435,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Caturité",1991,56.02
250435,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Caturité",2010,71.91
250435,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Caturité",2000,64.44
250440,25,"Paraíba",2501,"Sertão Paraibano",250106,"Itaporanga","Conceição",1991,59.19
250440,25,"Paraíba",2501,"Sertão Paraibano",250106,"Itaporanga","Conceição",2000,65.03
250440,25,"Paraíba",2501,"Sertão Paraibano",250106,"Itaporanga","Conceição",2010,70.23
250450,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Condado",1991,60.51
250450,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Condado",2000,64.64
250450,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Condado",2010,71.16
250460,25,"Paraíba",2504,"Mata Paraibana",250422,"João Pessoa","Conde",1991,60.95
250460,25,"Paraíba",2504,"Mata Paraibana",250422,"João Pessoa","Conde",2000,65.5
250460,25,"Paraíba",2504,"Mata Paraibana",250422,"João Pessoa","Conde",2010,72.84
250470,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Congo",1991,63.7
250470,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Congo",2000,66.5
250470,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Congo",2010,68.85
250480,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Coremas",2000,64.5
250480,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Coremas",1991,56.84
250480,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Coremas",2010,72.65
250485,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Coxixola",2010,72.63
250485,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Coxixola",2000,65.86
250485,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Coxixola",1991,59.07
250490,25,"Paraíba",2504,"Mata Paraibana",250421,"Sapé","Cruz do Espírito Santo",1991,56.17
250490,25,"Paraíba",2504,"Mata Paraibana",250421,"Sapé","Cruz do Espírito Santo",2010,71.66
250490,25,"Paraíba",2504,"Mata Paraibana",250421,"Sapé","Cruz do Espírito Santo",2000,64.73
250500,25,"Paraíba",2502,"Borborema",250209,"Seridó Oriental Paraibano","Cubati",1991,55.5
250500,25,"Paraíba",2502,"Borborema",250209,"Seridó Oriental Paraibano","Cubati",2000,62.88
250500,25,"Paraíba",2502,"Borborema",250209,"Seridó Oriental Paraibano","Cubati",2010,69.51
250510,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Cuité",2000,62.92
250510,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Cuité",1991,54.85
250510,25,"Paraíba",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Cuité",2010,70.96
