"indicador","ano","min","q4neg","q3neg","q2neg","q0","q2","q3","q4","max"
"INDICADOR_113",2011,0.225507019328191,0.240066105458327,0.348040361887239,0.456014618316152,0.563988874745065,0.671963131173978,0.779937387602891,0.887911644031804,0.852794402969521
"INDICADOR_113",2012,0.202374933158154,0.225011769449052,0.336470517923974,0.447929266398895,0.559388014873817,0.670846763348738,0.78230551182366,0.893764260298581,0.845597492164223
"INDICADOR_114",2007,0,0,0,0.0496480703432099,0.59142868128652,0.743481312858465,0.874728309964414,0.932865339704937,0.938062351572815
"INDICADOR_114",2008,0,0,0,9.60268990290866e-05,0.504375300059077,0.696854893181081,0.828073462152106,0.900793357554318,0.910353335681349
"INDICADOR_114",2009,0,0,0,0.00766939336269088,0.435288472988221,0.657535002979523,0.820478204959575,0.884878027273755,0.887521244211044
"INDICADOR_114",2010,0,0,0,0.0971075447929842,0.385097250965573,0.620435095781752,0.833727663388178,0.85987617340333,0.862966616817113
"INDICADOR_114",2011,0,0,0,0.0782221544446964,0.322313262737446,0.560398096582655,0.77932909623227,0.84062964322832,0.842117090028899
"INDICADOR_114",2012,0,0,0,0.0768840398094369,0.287690357567954,0.491159216788397,0.722554885713423,0.839468963907833,0.840633273558825
"INDICADOR_201",1991,51.26,51.392,52.0716,54.7652,57.18,60.7712,63.7916,65.0612,65.29
"INDICADOR_201",2010,65.3,64.8831076006578,66.6898092903329,68.4965109800081,70.3032126696833,72.1099143593584,73.9166160490336,75.7233177387088,74.31
"INDICADOR_201",2000,58.3,58.3,58.64,61.26,63.24,65.1164,67.6168,69.982,70.51
"INDICADOR_202",1991,2.54,2.5752,3.0656,3.5276,4.43,5.4024,7.34,7.4414,7.47
"INDICADOR_202",2010,1.49,1.512,1.62,1.85,2.16,2.4248,2.8864,3.21,3.21
"INDICADOR_202",2000,2.13,2.1344,2.24,2.42,2.9,3.5072,4.3588,4.8316,4.88
"INDICADOR_203",1991,44.47,45.3566,50.3036,63.316,81.15,94.6088,111.1128,115.5898,116.45
"INDICADOR_203",2010,15.27,15.4306,17.252,21.3228,26.2,32.424,39.972,43.846,44
"INDICADOR_203",2000,25.52,27.0138,33.8048,41.9224,48.6,56.31,67.52,69.0378,69.04
"INDICADOR_204",1991,58.9,60.044,66.79,82.9676,105.24,121.7736,141.6908,147.0248,148.05
"INDICADOR_204",2010,16.53,16.6752,17.5752,22.9108,28.21,34.9912,43.0408,47.2674,47.45
"INDICADOR_204",2000,33.24,35.1474,43.8108,54.078,62.45,72.03,85.81,87.6656,87.67
"INDICADOR_205",1991,49.51,49.7234,50.836,55.2928,59.41,65.6652,70.8072,73.1318,73.53
"INDICADOR_205",2010,73.36,73.4392,75.314,79.0956,82.53,85.402,87.8132,88.6126,88.65
"INDICADOR_205",2000,60.02,60.02,60.59,65.11,68.55,71.7888,76.0912,80.0734,80.96
"INDICADOR_206",1991,4.04,2.67046991356525,4.19066018370414,5.71085045384302,7.2310407239819,8.75123099412078,10.2714212642597,11.7916115343985,11.48
"INDICADOR_206",2010,5.05,4.4950558527415,6.20373255944456,7.91240926614762,9.62108597285068,11.3297626795537,13.0384393862568,14.7471160929599,13.95
"INDICADOR_206",2000,4.21,3.41425275843062,4.96633441813927,6.51841607784791,8.07049773755656,9.62257939726521,11.1746610569739,12.7267427166825,12.37
"INDICADOR_207",1991,0.131,0.13452,0.17136,0.23976,0.278,0.33124,0.39776,0.44224,0.444
"INDICADOR_207",2010,0.513,0.51322,0.52484,0.55452,0.583,0.618,0.67396,0.73898,0.748
"INDICADOR_207",2000,0.295,0.2972,0.31284,0.37728,0.413,0.4562,0.51728,0.58976,0.599
"INDICADOR_208",1991,0.438,0.4402,0.45136,0.496,0.536,0.59648,0.647,0.66804,0.672
"INDICADOR_208",2010,0.672,0.664814971073785,0.694921896251301,0.725028821428818,0.755135746606335,0.785242671783852,0.815349596961368,0.845456522138885,0.822
"INDICADOR_208",2000,0.555,0.555,0.561,0.604,0.637,0.66844,0.71028,0.7502,0.759
